"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 50"
"errors: 2144"
"haskell demerits lower: 2144"
"seeds: "
"Haskell lower 6009205448225366152, 1021635173161217263"
"Equal 3681701574100171217, -8611027018719049767"
"Haskell lower 1640454623991303786, 35527219999290259"
"Equal -5411112106432104671, 8472786807781696354"
"Equal -1700111933126494454, 3583922676725807639"
"Haskell lower -2067177070046291522, 3827571617493255312"
"Equal 3398385513465601426, -5513677464048474308"
"Equal 1294915058095282919, 4331557386150479739"
"Haskell lower 6933407167546183297, 2374569859937923737"
"Equal -1350377274575148025, -7122480478771332222"
"Equal -8539074994099137481, 8105479095885875495"
"Equal 3196902064229702290, 7810524515389857798"
"Equal 7919940897498352671, 4540965843831860252"
"Equal 7611210265346063224, 4173786903723734493"
"Equal 4934429683503119814, 7330036514387069543"
"Equal 6775593881975800139, -5330338225516510891"
"Haskell lower -5128560820678907027, 5503350400023404249"
"Equal -5367287907810361097, 4028078953903613221"
"Haskell lower 6693799030234513741, 1088112934570379694"
"Equal 8387622939487666103, -789026837004652202"
"Equal -3669933825645659415, 4912661125258910945"
"Equal -935834729146622544, 7068537050455846508"
"Equal 4511132794799951648, 8049393957512815453"
"Haskell lower -454361911961506203, 644681787328859401"
"Equal 9041722355507956080, 4946929508892975988"
"Haskell lower -6093927261638637575, -8924915331685278221"
"Haskell lower 1623944050533428808, -3101123738894472691"
"Equal 5269117150303680442, -1089722128184990079"
"Equal -132470614691816163, -1316082125573492301"
"Equal 6776854260564218934, -320163556393327701"
"Equal 5081259112710171163, -1739887280041423503"
"Equal 705096678422683622, 3981939077624108967"
"Equal 4796959122675841838, -7214625190740932753"
"Equal -351690173893688422, 8982700374209937291"
"Equal 4894047812092952867, -8942541325729968636"
"Equal 475248523536246600, 3514521238702680232"
"Equal 4235648918085736320, -4433858564589822633"
"Equal -8228585180079881387, 484908861862896364"
"Equal -8261653237232667725, 8717256617437319896"
"Haskell lower 5359705345626595340, 2977498983531776728"
"Equal 697543423422928910, 180557841412563426"
"Haskell lower -3778980527387825968, -7619156902764095406"
"Equal -5485252379481629849, 3727765364485782360"
"Equal 3968784186257028507, -3041695123987738571"
"Equal 593103626843892367, -5801980431437922695"
"Equal -4600297038473914103, 1131943094304901060"
"Haskell lower -242506851704618734, -6945943642505221665"
"Equal 623042614766404065, -704278396460430448"
"Equal -3133079283404049700, -7177345969641620592"
"Equal 5412854096280190666, -5335313109282607555"
"Equal -6169854194108789905, -5481505996366935877"
"Equal 8302960216416899169, 7831071005830822584"
"Equal 8151677795703112899, 768308308995486856"
"Equal -1239286955097362210, 3309202040482170313"
"Haskell lower -9104924179953800219, -5005534059957477129"
"Haskell lower -883737807125100946, -8586040666230507818"
"Equal -8920311932987133867, -6694238610262541352"
"Haskell lower -6367734098183643296, 7983845406004469545"
"Equal -3909124690985950536, 3625359028665049013"
"Equal -7670461083523036722, -4567167410773645737"
"Equal -4763492265884203628, -2541877590422919253"
"Equal -4049558111937804604, -4357519013075771035"
"Equal 966674890736269040, 6479039585840942458"
"Equal -1278325745537156802, 2074004102724005224"
"Equal 8077707563582201145, -6847663244753221098"
"Equal -2896783748771664469, -7696957798294393196"
"Equal -5750361872593880814, -616904288781243410"
"Equal -3279641659271497570, -5132811442782691147"
"Haskell lower -3239663987228312437, 3313099739294297487"
"Equal -5915046837888594194, 9047666385696028454"
"Equal 2075856882762457660, -4407969539493548445"
"Haskell lower 7172467087997984005, 8310657158644514573"
"Haskell lower -6328501483000974931, -1796512116699167514"
"Equal -7057379598906984308, -8460068697710691687"
"Haskell lower 1228358639479935003, 414760711566654202"
"Equal -8352991795524833455, -5905403486360635716"
"Equal -5440235921062693724, -4031064514189720392"
"Equal 2338597053919974894, -5372508309407735916"
"Equal 6585711826073733318, -7639836784078136100"
"Equal 7526513846681489705, -1095549225362975551"
"Haskell lower -8633997474814577758, -8580051311387688715"
"Equal 8092736661606568051, -7127323400205327358"
"Equal 2316387741334115989, -1560054198569005066"
"Equal -4096641377960430016, -6934984477459024398"
"Haskell lower 9105263901336654455, -1145843716621275605"
"Equal 8470480749461858972, -6671927043646994489"
"Equal 7919502489123142005, 2534604714139406724"
"Haskell lower -7943300980816714864, -5108318908432185803"
"Equal -6510669148346378464, -1745983162992039433"
"Equal 6188925584254645493, 2559770256485114609"
"Haskell lower 5804546392619732342, 850799826294204236"
"Equal -4676797744494898308, -5343494745871337026"
"Equal -1286198823953149240, 5570400102537824618"
"Equal 3900414763260004569, -1618540938752651266"
"Equal 9110341335876834604, 2015522033555978"
"Equal 1545371012119828528, -8164582336086157757"
"Equal 4188368285622978178, 344793964530979328"
"Equal 8199382747538540102, 984208551332390858"
"Equal 2023070704033126220, -5845444211857509102"
"Equal 7155447611874035325, 8758965755589074214"
"Equal 5569346385525256682, 5944200378214781220"
"Equal 1713308422907821946, -4937857517393794730"
"Equal -3825169296771935813, 291948497248768747"
"Haskell lower 1962730125875070307, -5091068447883448941"
"Equal 5765954398175453376, -8619131139143494071"
"Equal 7806365332599735687, -6709766542141011558"
"Equal 545203430501559143, -4475830778865424741"
"Haskell lower -7456330291260970291, -1626821502593792267"
"Haskell lower -1579103307154999601, 5978656309116493907"
"Equal 5752955944045139884, -4595933807783793243"
"Haskell lower -8825495933709411567, -2464181923488419503"
"Equal -6735637832935879520, -8266406226128026882"
"Haskell lower -4748554835670653723, 5450351598963045013"
"Equal 4905508151838999694, 4643586920345894333"
"Equal 4093639105419659236, 497891130552799447"
"Equal -7354950466243325512, 4976168322538159083"
"Equal 2305509874563896739, 2179221515288876911"
"Haskell lower -40409322244926108, -3594268939573185283"
"Equal 5285442536426182474, -3348474113441448183"
"Equal -3985930638957228501, 4864160444481762432"
"Equal 7737605838894265901, -7674417601073978699"
"Equal 3453665446259936456, 6603601585657139628"
"Equal -8612917859724589472, 2055495212014188663"
"Equal -5617746155163830480, -1536921663157192922"
"Haskell lower 8355353416375000261, 9029723855548693936"
"Equal -6524421625876641538, 4525030138671736338"
"Equal -5045606911339252199, -2980568346230695866"
"Equal 5686418910817730855, -3804997006134697388"
"Equal -5998970152055178047, 7298698436446965207"
"Equal 3201670157389616059, -3540778872578570982"
"Equal -5217236220072824505, 1610819237408094882"
"Equal -2684918785010100748, -5579919017179496064"
"Equal -2802161909488866580, -5965069318632733079"
"Equal -7828500535935648472, -7574358387965124684"
"Haskell lower 618997351451277010, -9030996679407415410"
"Equal 6038116991228365100, 6955789042618053164"
"Equal 6706075848347602023, -8257420604233461982"
"Equal 8230739074801020564, 8570556169190357552"
"Equal 5962722625968766604, -4731115692456529441"
"Equal 2123070843285275373, 3946938879645402907"
"Equal -1891139146629422304, 9103550899820295622"
"Equal -211684221981552476, -6209590549773800823"
"Equal 7377994853716166028, -1663864478798953037"
"Haskell lower -2048767797253780594, -6054612348672647907"
"Equal 3998905543111651738, 5576136310164738034"
"Haskell lower 2021829137722324662, 1310168957691151019"
"Equal -2867349414428896302, 4783435168630026966"
"Equal -7220243403489968950, -8709668074575690286"
"Equal -4433077844064596149, -7778970804093743132"
"Equal -4654711279746359523, 8396394200503772707"
"Equal -3815141510217497642, 5611237782968006446"
"Equal -5363858338042475126, -7017333295744584319"
"Equal -4251700946338229421, 3659216456286318487"
"Haskell lower 9215560535596373669, 2938228553746328842"
"Haskell lower 9186385314848196462, 6770325755669141889"
"Equal -5657912822675529290, 6687465362321138840"
"Equal -1594280954823797583, -3541920482723875644"
"Equal -8557481039501255223, -2967480368038428269"
"Equal -894364029259430638, -6544787552162995654"
"Haskell lower 7047579767501756185, 4086631225078647314"
"Haskell lower -3153854571978474125, -7692297952267138995"
"Equal 6493474167331483149, 541940799714870503"
"Haskell lower 8659683442216557765, 4825682704298501832"
"Equal 3415364722341259840, -7815092523620528403"
"Haskell lower -7722884133025303611, -8716546360500450300"
"Equal -1374586548089213590, 8429160198712060427"
"Equal -8199585187765544546, -792154304532048727"
"Haskell lower -7934724219099152812, 7212500990982201503"
"Equal -969106296016488509, 4340404360787523174"
"Haskell lower -6555836442523724568, 9032859586280108402"
"Equal 6249333617646906152, -2995137105882653790"
"Haskell lower 6881950126251267194, 5317595941883908506"
"Equal -2996831303048711875, 4065162581272469921"
"Haskell lower -6748225173473294498, 3899585972341244039"
"Equal -8095684553291943870, 8767589347697698003"
"Haskell lower 2330453830646710527, 1464953694856463746"
"Haskell lower -5062262737029462979, -6072978818285731435"
"Equal 4248231510978836813, -1496613442715156410"
"Equal -7572781042288988241, -5880824704763118412"
"Haskell lower 8538960240430477064, -6108747165503800617"
"Haskell lower -3928737337657168390, 5415018134691520999"
"Equal 3108473571834073183, -7371547154405979260"
"Equal 7663525401970049618, -5573045602440814864"
"Equal 6330785618146970518, 4781127070333800894"
"Equal 5100810858329086821, -6724601450866597645"
"Equal -7890065041629020749, 698930866538309393"
"Equal 2430793415822306242, -977651834719145821"
"Equal -1785268729845119294, 7444561150462306858"
"Equal 4112933377910599072, -4294125417016011995"
"Equal 2390121834063148937, 287698198495063192"
"Equal 5110892640684694888, 88344632993112892"
"Equal 2864793826698650746, 4697150649022371931"
"Haskell lower 7590275642205158069, -4301108041858253236"
"Equal -8123312092507695921, 2882176559773923660"
"Equal -2992658769958275621, -1955610284647743971"
"Equal 5070287962660856347, 1635128249742670409"
"Equal -5596794380955994943, -4234421291196790201"
"Equal 4443697334268781981, 1176976931133466819"
"Equal 2600340124544162727, 8862854807328955121"
"Equal 6902890848760253705, 2357756217293861759"
"Haskell lower -2547880981474286766, 3754919708102239869"
"Haskell lower 6973797122365125084, 1717010067286127133"
"Equal -4209744956683797626, 7750282985193036056"
"Haskell lower -6472313703564619381, 4677077425680291735"
"Equal -3352946319769176375, 1270735639770934688"
"Equal -3107848129703620332, 2125343321623318382"
"Equal 5257640995829485624, 2926065219720003396"
"Equal 7057299702117859981, -3912928067396817923"
"Equal -2378476231686182324, -3152984891118288989"
"Equal -2955071324387285054, 3043534030116473204"
"Equal 8514178366252732762, -4389249475701511956"
"Haskell lower 9028945966932725245, 4440376977545976432"
"Equal 572162015361267698, -9065217105519561021"
"Equal 8244762777903301323, -8806727129934565158"
"Equal -4793657220573510917, 4563160308029077121"
"Haskell lower -1970502191096233531, 2922527639331347912"
"Equal 8121546390786018100, -2226208299154880001"
"Equal -622477042755965532, -9076772119396443915"
"Equal 4930612952558552522, -6695549058077617395"
"Haskell lower -6054390844829002353, 2326813362056639640"
"Equal 6931248726326844472, -2089250831816565558"
"Equal -3826547711322362393, 3666534912364406003"
"Equal 5257455517464683511, -7462879323390036113"
"Equal 7570636596925084360, 8864356876058331145"
"Haskell lower 1955390786456933985, 5538305971964937346"
"Equal -6352623202587438616, -388466862361864836"
"Equal 5429266528354095571, -6173497665959636152"
"Equal 6222834065218260367, 5318090173459694697"
"Equal -3071709305976664547, -773905139896700721"
"Equal -1222650452595308301, 6750091646181944257"
"Equal 1191919237121529817, 4081337169644959894"
"Haskell lower -1934609581596490323, -8941610201813319542"
"Equal -5898628148690416975, -4809437683927699385"
"Equal 4111765822768819182, 8737123918817697779"
"Equal -6965635824989239876, -8988483196772025083"
"Equal 4856708982250126366, 1234046188032398312"
"Equal 3292633698941613326, 7001020848269024560"
"Haskell lower -5196772017695541141, -5749963558043977618"
"Equal -4452636115910869517, -5092285055948987049"
"Equal -8229614982484008703, 2286293486221017675"
"Haskell lower 3441470157997266656, 7697790085607460638"
"Haskell lower 3647210149734616702, -8416253748479341707"
"Equal 1642240268281301606, 4825302055725428377"
"Equal 6071693745940115144, -7823738364486888380"
"Equal -1824247828353905940, -7963275946694573558"
"Haskell lower -7629886290838662889, 6687548210042837535"
"Haskell lower -3283604112888285980, 3257406783494539491"
"Equal -7951134580530904617, -1679818303343757682"
"Equal -5135383786471488532, -6466913184133684364"
"Haskell lower -215395829498448525, -331285363050626690"
"Equal -5502465128847206000, 8240685450691156449"
"Equal -4674914063830363911, 6382192023740699795"
"Equal -6690894201304507074, -2144803967614154147"
"Equal -4333326892692383950, 6495528434422008513"
"Equal 1579983710125393612, -7020227654881518126"
"Haskell lower 7809536859472136328, 1956949960279187763"
"Haskell lower 1991847948538013233, -1557111399047423665"
"Haskell lower -712453843615572254, 5609974139502597038"
"Equal -2789358988557985624, 2554595136607079278"
"Equal 9024257468662080169, 7571036493437869404"
"Equal 3822736319030998698, -4485828316756594602"
"Equal 5439056941966681716, -3360365829161755690"
"Equal -1064762452870074151, -1459456065468508684"
"Equal 5544613278157086018, 599805363214772399"
"Equal 6329466381655286996, -189953653901285395"
"Equal 4911285598446798021, -8590903573098581321"
"Equal -8343643299323471781, -6338459903359061240"
"Haskell lower 6951847282033268180, -8067240780863838964"
"Equal -8082080534768296177, 8477790538237546485"
"Equal -1944364486573177023, -4009591063907427755"
"Haskell lower 6074357470480177567, -3531766464701572963"
"Equal 2934649134758857085, -1994976679535862091"
"Equal 2399198519915474297, -6168101889696471579"
"Equal 9083502440330249412, 8010351389908472132"
"Equal 6482097440668789961, -4165118337280147795"
"Equal -7464367567307527660, 4281323906325974637"
"Equal -7547165875434964588, -6803036451581937118"
"Equal 6122148587481175812, 3701157769848175234"
"Equal 4399336380116137728, 3626676296162939251"
"Haskell lower 7625688933992824210, 6024920972313733487"
"Equal -8076660327846675229, 1968605547560549721"
"Equal 6152886969019445673, -8700354287464782764"
"Equal 1625452253349851863, -1474802500604452571"
"Equal 9075985244650725638, -8387310148174590159"
"Equal 256756382432073040, 8073027074376601222"
"Haskell lower 7517747695290517297, 3093959542548154368"
"Haskell lower -1047673377437343614, 6393900237728406288"
"Equal -2269183546103946570, 508893180152292817"
"Equal -5566236613472182216, 2369061344462279621"
"Equal 8165056050714170386, -5424678788905519438"
"Haskell lower 8133194416666952271, -8578064155528846653"
"Equal 9220450780068115589, -6583123603238053552"
"Equal 2619341727138807613, 4009253086393885784"
"Haskell lower -3020185693576449901, -4555563474913077419"
"Equal -7724614117025496129, -3509782769135195701"
"Equal 2151524147521781083, -4664782954084604546"
"Equal 7119506343098398397, -2431117909579812089"
"Equal 3591724359769658963, 3921500151931566717"
"Haskell lower 5517833647931504538, -5651173219338189793"
"Equal -6107658701744430708, -2955602732765085454"
"Haskell lower 7290973571870019237, 975113824317710876"
"Equal 7271358738981902385, 3787965366652027357"
"Equal 8876540074700888232, -5360098796636836863"
"Equal 7078074169527095963, 1534041259194695262"
"Equal -865820316729741206, 8977969465796881014"
"Equal 8151949755074783310, -1760182937956024918"
"Equal -7973014528901103559, 1160796050306558272"
"Equal -3449294426630821538, -3018200466096603411"
"Equal 904810816406695074, -6250138728765372815"
"Equal -1068759650262982348, -1591042841619837296"
"Equal -6778588688079360053, 4216852105186091004"
"Equal -539522771181932582, -6794643925072168370"
"Equal -696353478979081858, 8162602836463124241"
"Haskell lower 2498088746129868890, 5108672079650192690"
"Equal 3178813827614293941, -1101119823791952627"
"Equal 5473666485475368549, 602818505668637965"
"Equal -4827382516080316728, 3768467673907834613"
"Haskell lower -2491398883869584742, -3216234010290878764"
"Haskell lower 6978170484144384062, -8944054341681133381"
"Haskell lower -556030009342145238, 227358312290634887"
"Equal -5443263770312782115, 2585370468513961407"
"Equal -5042810992216683769, -3780758377937471679"
"Haskell lower 5253177198397187907, -911745839220890841"
"Equal -3869163720670269106, 5353849934940488959"
"Equal 1800603891190994854, -2134439874422090864"
"Equal 7960836593005758170, 4018124887404009740"
"Haskell lower -528515572507628949, -4627753605638520735"
"Equal 8532196098068792831, 8131850197978253244"
"Equal -1197784969316560349, 9029197449658409678"
"Equal -2600666757352835473, 1350944960090077450"
"Equal -3574573570426522604, 6590174160165618246"
"Equal -1955305122302018980, 8141928334342068631"
"Equal 7206785061610708940, -3724827483955778340"
"Equal -1127033773404520521, 10708314940002940"
"Equal 7958792087838553924, 4375155546159977153"
"Equal 8104844314927611834, 8524435144792171455"
"Equal 2577574243923303168, -283378519192656698"
"Equal 5434313718296479808, -4321693711888657005"
"Equal -996960944881091571, -8166743664558933295"
"Equal 3863373488626538636, 3240939921486308002"
"Equal -2526391229275597290, -1769424372359106444"
"Equal 3889472348083292283, -5698285114634077520"
"Haskell lower 8047876834359777193, -9125383167739646559"
"Equal 2348596910085809422, 4338095166350540937"
"Equal -293924694445948053, 138501708724845311"
"Haskell lower -5988634210901503065, 8350465182017037917"
"Equal -1423204019704776167, -8995267584237994913"
"Equal -5747352515322951365, 4947505381141748020"
"Equal -6617274350403846418, -5072010490406541461"
"Equal 3762594970971986321, -8207906662512266440"
"Equal -6689861069996857251, -3073395151872425500"
"Equal 2637451912839146743, 3168516165752842837"
"Equal 3880721019190609471, 4274423243624817533"
"Equal -2308680691673158843, -3603598362339307022"
"Equal -2511434690197573340, 1789933946917253050"
"Haskell lower -2477232790414105181, -7450438133378170028"
"Equal 2442989649501942883, 8477786277937558563"
"Haskell lower -5805075401834368499, 1357609124494103868"
"Equal -2366988309551950938, 7310501405724966523"
"Equal 6145143516938381740, 4597992356879793091"
"Equal 6835758794015232915, -5225793652434562282"
"Equal 1196754334497010978, -3013849401400093064"
"Equal 87866837020166082, 5049692426062452682"
"Equal -374026112908306314, 3702359446615739445"
"Haskell lower -4066801176087287434, 2148753740825725280"
"Haskell lower 8662327996804774561, -5659658111675597374"
"Equal 8435079374816170447, 1083042250239684749"
"Equal 9027530890396842393, 7418344582335384063"
"Equal -2083289377679587999, 3702410297246609654"
"Haskell lower -8569256630700736960, -2947676670831104018"
"Equal 6524639335854207018, -7286072699932280535"
"Equal 2116648452180647249, -9181072265973303454"
"Equal 6228607723961946215, 6140605556579927766"
"Equal 8814065820942979845, -796533441922486476"
"Equal -8189171056870103164, -6517761626139786673"
"Equal 7308191956948826513, 4749618510086866299"
"Equal -1015252249661684492, -8541354893936844770"
"Equal -6506346461151189273, 3819962016983267483"
"Haskell lower 1787566878925425467, 1481232427283957686"
"Equal 6343379368504318259, -8796440943732045143"
"Equal 521886581094110494, -3902529788417059156"
"Equal 7390595039442826139, -347375511371431064"
"Equal 7909780085764375835, -5036349911013655838"
"Equal 627816174974557747, -8102067606581087250"
"Equal 2974527932634648219, -2981063275525854938"
"Equal -2679534041906582361, -6541542156537528971"
"Equal -7100713065544419992, -3980622121846500850"
"Equal 5405484774686440409, 4339627036638183058"
"Equal -7024807674799470165, -6436549304801877435"
"Equal -7454099305903404184, 8851039882345748589"
"Equal -2885123759571087932, -4884530303581615272"
"Haskell lower -448261163698329958, -211550256213059914"
"Equal -726026000537566681, 7006309929609703248"
"Equal -5201504525039396506, 8539560118603644275"
"Equal -1925426207626603014, 5473078285718301004"
"Equal -1498654437227377947, 3295053508084816693"
"Equal -4839339487971898236, -8742462590147958027"
"Equal 5540842148029629467, 2003136552874213917"
"Equal 616329852100496920, 9199752258746701378"
"Equal 146644375127561103, -8855876393832498191"
"Haskell lower 6306695232059323967, -3069947980350235925"
"Equal -735296389319225350, -8624222785593912411"
"Haskell lower -1577223374969532286, -4119515009177496448"
"Equal 517218974552376491, 4805700245205119790"
"Haskell lower 5109505729305047535, 5315102737389394287"
"Equal -3455762511062278847, 3014045336417622289"
"Equal 4034497216502311949, -6096737828802059272"
"Haskell lower -2418047000551729708, -6727216210594634724"
"Equal 7365459952599966793, -2504645255358348508"
"Haskell lower 8125327066501803800, 10624993996165211"
"Equal -5886004569749187013, 7028690941224913483"
"Equal 8854424773398143164, -2989226832516823995"
"Equal 3768896657391084123, -6691427540169858850"
"Haskell lower 7509912092354790902, 6825372941660906084"
"Equal 7410364124583853692, 8104205475922602339"
"Equal 8828894681783750495, -6101822028470121674"
"Equal -5296578401012852691, -8066690985197885204"
"Equal -2071026869322731940, 7480775693229168991"
"Equal -8608919968364571144, 8846557194728028610"
"Equal -344894738658131032, 8123131014631816429"
"Haskell lower 7892961397398957622, -156363854164058205"
"Haskell lower -6620979825506067397, -8043609264087744853"
"Haskell lower 1327856443315724504, 1492953942915239364"
"Equal 5116730557646607207, -8458082722257251061"
"Haskell lower -1709254672980573636, 6979187278886428268"
"Equal -1871234682020368494, 8290607786068749441"
"Equal -439194275821785424, 5742768798387678260"
"Haskell lower -2260555497365406405, -6948155606916877593"
"Equal -4379638729407784016, 6821062565286800246"
"Equal -1523577389472114090, 6960532017448013447"
"Haskell lower -7938269592033177293, 6982794339307588584"
"Haskell lower 3255960915370892762, -8000465059140804559"
"Haskell lower 259102359715045964, 8724238869931311178"
"Equal -6050229332874857772, 2944494796895770252"
"Equal -226232411705995361, 6878053536453546142"
"Equal 1258190603358258038, 8670888445555773531"
"Equal 7704920382281159882, -8775643225764028866"
"Equal -8136622734403744279, 1481829008101579347"
"Equal 421504583801844291, 1501386593735732842"
"Equal 545187162774342375, 8778578063598732264"
"Equal -5260748792038021788, -6682108236275216971"
"Equal -8187790249131233251, 7965842811312377233"
"Equal -8868831879560851476, 4741910474601576719"
"Haskell lower -9013314540457436356, 5250658267789460129"
"Equal 5735985487012057537, -3428200439043918727"
"Equal 1202224728069307654, 6967288708306549162"
"Equal 2614772820521749642, -6983034024889372511"
"Equal -4539433667269796155, 1991847109124299735"
"Equal -1887851946469666589, -2777679161057490554"
"Equal -1528335579297524935, -3665671461632376206"
"Equal -236341457539011243, -2931781979675933595"
"Equal -129540770705689509, -5869978437656710723"
"Haskell lower -870951662562137089, 1216413023752310968"
"Equal -743902467094124601, 6386968270214013274"
"Equal -6136949003442756742, 9009744974246547098"
"Equal -4150667072348715051, 9100214029103434639"
"Equal -1939038623907635212, 7887618550391819149"
"Equal -9184608288034826609, 2372017613868198615"
"Equal -1707360653677808999, 8658149718639021214"
"Equal 8912938819872167068, 4176577358493746707"
"Equal 1156961091141348280, 1010475150156581677"
"Haskell lower 5177539470163225054, -3760169124911982793"
"Equal -7711751270546233456, -6075523862951792344"
"Equal -529467288014793602, 7084148161998184778"
"Equal 5929162019827205497, 684457053857220655"
"Equal -7218045265568032314, 7272058865451074009"
"Equal -6063748914883715300, 4069197172679842919"
"Equal -5626624656635818672, 2626757071028783500"
"Equal -8253111603248304652, 8578589632200122316"
"Equal 790504798821257389, 347186051142908406"
"Equal -1675523216667504204, 38311333742023925"
"Haskell lower -1477137944662187174, 3717159898784372531"
"Equal -6201672746254864370, 5642148418279706657"
"Equal 7028504830401626111, 2106336167512283482"
"Equal 5414357801312745415, -5369376312151753729"
"Equal -3880810410130321110, -5198127417506896591"
"Equal 3425514226662524122, 3007214773456282481"
"Haskell lower -4224759761013323895, -3640681060846923964"
"Equal 3414124073309176632, 8745776652673184455"
"Equal -9007658672171303772, 5097994746355369580"
"Equal 3339875308101247368, -5936994123424839792"
"Equal 8918333812047059702, 1781656918660256065"
"Equal 7533290554199532073, -5277569952836145903"
"Equal 203279813651494282, -1283896914191478745"
"Equal -7849645780527320321, 7871931771168277765"
"Haskell lower 9077550152445520126, 2001241591138810579"
"Equal -3841773257310265089, -8584602029342894329"
"Equal 5615538222438644295, -977021320853898431"
"Equal 419016527892137129, -6716468078311611062"
"Equal 5398798272514735116, -3378055739154722798"
"Equal -4501412133133852866, 3270694343068298460"
"Haskell lower 7136143305408772907, -6239493187061891507"
"Equal 2161935930847176738, 1542828369247951546"
"Equal 6818256589298714306, -6971803639022312540"
"Equal -3054257205347773181, 9058143206205867865"
"Equal 1572986266340586658, -2627037562962287427"
"Equal -7562783626816190629, 47578461165033146"
"Equal -7618842301391227956, 5243586902005867962"
"Haskell lower -1891523152823509745, -4708728721154139719"
"Equal 1044978128585179642, -1403532856418827845"
"Equal 1770671822715797590, -4904687219840795161"
"Equal 3176772816125426218, -6942330178579172123"
"Equal 6896831184901230963, -7579540393984048862"
"Equal -3381996416869928440, -919440416286648487"
"Haskell lower 1973750365955179514, -8432390480142508526"
"Equal -1860032246526894410, 1164954031388562919"
"Equal -4437442920896613732, -1949300924532232136"
"Equal 7687547536131257592, -2018397399428318170"
"Equal -2061658538571255553, -7463846941541888642"
"Equal 2691582213442132765, 8318876180686914312"
"Equal 8919479200504792977, -6268004495799512020"
"Equal -2867917833911359819, 7381058596011257453"
"Haskell lower 9194543776207247054, 7024156875927915433"
"Equal 7456283032595637729, 2425122545432833938"
"Equal 3007211768144437949, -5165652230893795881"
"Equal -1403425641402529451, -2026879496905230353"
"Equal -3751663089440460452, -3444514845458894018"
"Equal -2317454231123162225, -3468983644145490633"
"Haskell lower 6825703885076437976, -7190353689503390071"
"Equal -1588589346515594656, 7130583956459463546"
"Equal 999551360482107408, 5702804389564221868"
"Haskell lower -1469007318206266383, -5183798702339546715"
"Equal 1231503545709807217, 1270378091291168544"
"Equal -5315734972674353529, -4685808304279971986"
"Equal 7372118046183580383, 8034889642219365745"
"Equal 25645750310048945, 59078173673515297"
"Haskell lower -5381329463623404535, -6644207525368507502"
"Equal 369762520020113981, -5227767834755501282"
"Equal 3951891857707498470, -5398414971205100808"
"Equal -8196761649611573856, -864292635509441111"
"Equal 951995409377571139, 3067733535732123240"
"Equal 5792176230638304270, 6154783093922387019"
"Equal 1634297809222806980, -5789847992814785790"
"Equal -58053029370527127, 2055996566553615394"
"Equal -5178965038450833099, -7966296021139654802"
"Equal -5057035732890833141, -6811668708674898290"
"Equal -8525611912806967958, -9031391136962004397"
"Equal -5439203847284743737, 1518944568623841382"
"Haskell lower -6054436725498970079, 1774242583999159035"
"Haskell lower -1418354162612996864, 8248978199957553195"
"Equal -1578599958274506855, 3563757851325214308"
"Equal 4762616751888975162, 3771625979089115743"
"Equal -610467254644366405, -8002999826682589561"
"Haskell lower 508161546069828799, -8672513103144079482"
"Equal 5720527258352366615, 1708024372859659787"
"Haskell lower 5468812835855547735, 3711842893544286598"
"Equal -3162972308279531110, 2195224550231689510"
"Haskell lower 2535250995960187164, 2029022064854403346"
"Haskell lower 7111272281445695682, 7236237816697047628"
"Equal -3096530506547178320, 7313392506007497431"
"Haskell lower 6516194824162452166, -3956436213722404830"
"Equal -5516403744898991926, -3468407890631938179"
"Equal -7987190267688132375, 8876758436149645274"
"Equal -3201366296356773014, 5310527662311376517"
"Equal 5113695791819789032, -2680459493136738668"
"Equal -603962515367779480, 4657793191537047238"
"Equal -8211748232310350622, -8597432997523858998"
"Haskell lower 3278941160574548074, -7101695286475462760"
"Equal 7944620140385351594, -1107079887230575244"
"Equal 7138363518054490857, -4996265860049504126"
"Equal 3021874077033209880, 9126037736728275546"
"Equal 8209284709715109541, -1332943422991948834"
"Equal 8576669995606667992, -2988846715469240855"
"Haskell lower -5971525302518994701, -5327375058476768126"
"Equal 8882265365100408143, -1517786088458807048"
"Equal 1847164033422597115, 4632069869672715683"
"Haskell lower -6938392211661749288, 3484534926590146815"
"Equal 3130106970376248882, 3897164771098569917"
"Equal 6913394074441238507, -3329605531261265687"
"Equal 681087255993172801, -7899373488522092461"
"Equal 7289498739293501588, 6553195214015128752"
"Equal -3362208369943662304, 6025721020679019715"
"Haskell lower -5987445987212955939, -1213677157572055297"
"Equal 1794055257465862753, 9028225126433938489"
"Equal 3434879189547882950, -1112121324652620570"
"Haskell lower 8445415530895264616, 6764066387681156117"
"Haskell lower 4268177249921388232, -1052166858132552613"
"Equal -5437837267290955500, -4518319252883700929"
"Equal -5637184681624031105, 1741218981875998044"
"Equal 1717632226992478267, 8835473314265321002"
"Haskell lower 4906237011979075865, 902473074523561474"
"Equal -9172370285655169783, -553791858490190166"
"Equal -7657557999394155398, -6407931051298302547"
"Haskell lower -2130907767559072044, 2245925147595716351"
"Equal -3986867154923947645, -8704883462241568791"
"Haskell lower 4041073060154406444, 5532432269533341756"
"Equal -6399280386886992496, 4714042888717324091"
"Equal 7653268738916719274, -4379069746070014178"
"Equal 2841384521613959106, 644421877932881253"
"Equal -8109737073361555891, -3908796614251442486"
"Equal 1455322712391406656, 8781972782360210280"
"Haskell lower 2009560675645498784, -5319766766734516584"
"Equal 3574944819259232604, -102510893393130026"
